,모집직종,고용형태,임금형태,임금,요구경력,요구학력,전공계열,요구자격증,사업장 주소,기업형태,Classification
64,건물 보수원 및 영선원(아파트 기계·전기 시설관리 제외),0,2,934000,0,0,0,0,부산광역시 강서구 명지국제6로318번길 54 (명지동),3,생산/제조
65,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",1,0,9620,0,0,0,0,부산광역시 기장군 정관읍 정관로 859 1층,1,서비스
66,안마사,0,2,1300000,0,0,0,0,부산광역시 수영구 광안해변로358번길 7 곡암빌딩 3층 (민락동),1,서비스
67,환경 미화원,0,3,26000000,0,0,0,0,부산광역시 영도구 태종로 727 한국해양대학교 (동삼동),1,서비스
68,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",0,2,1046000,0,1,0,0,서울특별시 강서구 마곡중앙5로 18 케이지스퀘어 6-8층,1,서비스
69,인문과학 연구원,1,3,27000000,0,1,0,0,서울특별시 동작구 여의대방로54길 18 . (대방동),1,전문/특수직
70,종이제품 생산기계 조작원,0,2,1000000,0,0,0,0,"서울특별시 성동구 성수일로4길 25 (성수동2가) , 807",1,생산/제조
71,환경 미화원,0,2,1010000,0,0,0,0,서울특별시 송파구 백제고분로41길 30 1층(송파동),1,서비스
72,모니터 요원,0,2,910000,0,0,0,0,서울특별시 영등포구 은행로 17 나이스평가정보 (여의도동),3,서비스
73,환경 미화원,0,0,9160,0,0,0,0,서울특별시 중구 마른내로 35 (초동)13층 CSI경영지원본부,4,서비스
74,가족·학교·아동·청소년·노인·중독 등 상담 전문가,0,0,9620,0,0,0,0,울산광역시 남구 신남로 69-1 (신정동) 대진상가 3층,2,서비스
75,전자의료기기 개발 기술자 및 연구원,1,2,2000000,0,1,0,0,전라남도 목포시 대양로 28 (연산동),1,전문/특수직
76,환경 미화원,0,0,9620,0,0,0,0,전라남도 목포시 산정로199번길 25 (산정동),2,서비스
77,환경 미화원,0,0,9620,0,0,0,0,전라남도 목포시 석현로45번길 9 (석현동),2,서비스
78,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",2,0,9620,0,0,0,0,전라남도 목포시 영산로 350-3 (용당동),2,서비스
79,데스크 안내원,1,0,9620,0,0,0,0,전라남도 목포시 영산로 483 (상동 149-2),0,서비스
80,환경 미화원,0,0,9620,0,0,0,0,전라남도 목포시 하당로205번길 12 목포시장애인종합복지관,1,서비스
81,환경 미화원,0,0,9620,0,0,0,0,전라남도 무안군 무안읍 공항로 148-18 -,1,서비스
82,환경 미화원,0,0,9620,0,0,0,0,"전라남도 해남군 해남읍 신안길 2-20 (고도리, 해남군장애인종합복지관)",2,서비스
83,안마사,0,0,9620,0,0,0,0,전라남도 해남군 해남읍 영빈로 31 사)한국시각장애인연합회 해남지회,2,서비스
84,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",2,0,9620,0,0,0,0,충청남도 아산시 온천대로1122번길 46-5 (득산동),1,서비스
85,사무 보조원(공공기관),0,1,80000,0,1,0,0,충청북도 진천군 덕산면 교학로 7 (덕산면),3,경영/사무
86,환경 미화원,0,0,9620,0,0,0,0,충청북도 청주시 흥덕구 옥산면 옥산산단3로 9 (옥산면),1,서비스
87,직업 운동선수,1,0,9620,0,0,0,0,충청북도 충주시 주덕읍 중원산업로 163 주식회사 천보신소재,1,전문/특수직
88,주차 관리·안내원,0,0,9620,0,0,0,0,강원도 원주시 천사로 46 (단계동),3,서비스
89,아파트·빌라 경비원,1,2,2453000,0,0,0,0,강원도 원주시 행구로 54 원주힐스테이트관리사무소,1,서비스
90,스크린 인쇄기 조작원(실크스크린 포함),1,2,2010580,0,0,0,0,경기도 광주시 초월읍 신월길 36-11 가온피앤에스,1,생산/제조
91,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",1,2,2000000,0,0,0,0,"경기도 수원시 영통구 덕영대로1556번길 16 C동 4,5층 (영통동)",1,서비스
92,안마사,1,2,2010580,0,0,0,0,경기도 용인시 수지구 성복2로 17 (성복동),0,서비스
93,"기타 서비스 단순종사원(사우나,찜질방 정리원 등)",0,0,10000,0,0,0,0,경기도 평택시 경기대로 945 지하2층 사무실 (장당동),1,서비스
94,세탁 기계 조작원,1,0,9620,0,0,0,0,경기도 하남시 초일로168번길 11 (초일동),1,생산/제조
95,환경 미화원,0,0,9620,0,0,0,0,경상북도 구미시 박정희로 60-22 (상모동),3,서비스
96,건물 보수원 및 영선원(아파트 기계·전기 시설관리 제외),0,0,9620,0,0,0,0,경상북도 구미시 사곡동 461-2번지,3,생산/제조
97,건물 보수원 및 영선원(아파트 기계·전기 시설관리 제외),0,0,9620,0,0,0,0,경상북도 구미시 산동읍 신당4로 29 구미신당초등학교,3,생산/제조
98,기타 보건·의료 서비스 종사원,0,2,1900000,0,1,0,0,대구광역시 수성구 동대구로 12 . (지산동),1,서비스
99,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",0,2,900000,0,0,문헌정보학,0,대구광역시 수성구 들안로 416 청운신협 (범어동),1,서비스
100,사무 보조원(일반사업체),0,2,759980,0,0,0,0,"부산광역시 동구 중앙대로260번길 7-5 (초량동), 항운회관 2층",1,경영/사무
101,"호텔·콘도·숙박시설 청소원(룸메이드,하우스키퍼)",1,2,2050000,0,0,0,0,부산광역시 해운대구 해운대해변로 287 (중동),1,서비스
102,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",1,2,970000,0,0,0,0,서울특별시 강남구 테헤란로 432  (대치동),1,서비스
103,사무 보조원(일반사업체),0,0,10000,0,0,0,0,"서울특별시 강남구 테헤란로 513 K타워 9층,10층, B1층 미래의료재단 (삼성동)",1,경영/사무
104,세탁원(다림질원),0,0,10000,0,0,0,0,"서울특별시 강남구 테헤란로 513 K타워 9층,10층, B1층 미래의료재단 (삼성동)",1,서비스
105,"기타 서비스 단순종사원(사우나,찜질방 정리원 등)",0,0,10000,0,0,0,0,"서울특별시 강남구 테헤란로 513 K타워 9층,10층, B1층 미래의료재단 (삼성동)",1,서비스
106,사무 보조원(일반사업체),0,2,2090000,0,0,정보·통신공학,0,서울특별시 강남구 테헤란로87길 36 도심공항타워 24층,1,경영/사무
107,사무 보조원(일반사업체),0,2,1200000,0,0,0,0,서울특별시 강남구 학동로 401 (청담동) 2층,4,경영/사무
108,환경 미화원,0,1,44960,0,0,0,0,서울특별시 관악구 봉천7동 212-3번지,3,서비스
109,물건·이삿짐 운반원,0,3,26000000,0,1,0,0,서울특별시 동작구 대림로 27 한국금융안전 빌딩 (신대방동),1,무역/유통
110,기타 중·고등학교 교사,0,2,2000000,0,3,0,0,서울특별시 동작구 대방동길 74 성남고등학교,1,교육
111,전산자료 입력원(DB·단순자료),0,3,31000000,0,1,0,0,서울특별시 동작구 상도로 7 (대방동),1,경영/사무
112,공공행정 사무원,0,3,38000000,0,3,0,0,서울특별시 마포구 매봉산로 37 8층,1,경영/사무
113,환경 미화원,0,0,11240,0,0,0,0,서울특별시 서초구 나루터로 27 (잠원동),3,서비스
114,"기타 서비스 단순종사원(사우나,찜질방 정리원 등)",1,0,9620,0,0,0,0,서울특별시 서초구 반포대로22길 53 (서초동),1,서비스
115,도서 정리원,0,0,11240,0,1,0,0,서울특별시 용산구 녹사평대로40길 19 (이태원동),2,서비스
116,건물 보수원 및 영선원(아파트 기계·전기 시설관리 제외),0,0,9620,0,0,0,0,서울특별시 종로구 송월길 48 (신문로2가),3,생산/제조
117,사무 보조원(일반사업체),0,3,26400000,0,1,0,0,서울특별시 중구 마른내로 157-5 (광희동1가),4,경영/사무
118,사무 보조원(일반사업체),0,0,9160,0,0,0,0,서울특별시 중구 세종대로 55 (태평로2가),4,경영/사무
119,사무 보조원(일반사업체),0,2,1122000,0,0,0,0,서울특별시 중구 세종대로 67 (태평로2가),4,경영/사무
120,세차원 및 운송장비 청소원,0,2,1372540,0,0,0,0,"서울특별시 중구 을지로 65 (을지로2가) (,SK텔레콤빌딩)",1,서비스
121,환경 미화원,0,2,2000000,0,0,0,0,울산광역시 울주군 범서읍 대리로 10 울주군시설관리공단,3,서비스
122,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",0,0,9160,0,0,0,0,인천광역시 부평구 부흥북로36번길 4 (부평동)칠성빌딩 2층,1,서비스
123,사무 보조원(공공기관),0,0,9620,0,0,0,0,전라남도 고흥군 고흥읍 흥양길 40 (옥하리),3,경영/사무
124,그 외 사회복지 종사원,0,0,9620,0,0,0,0,전라남도 광양시 광양읍 대림오성로 117 광양시장애인종합복지관,1,의료
125,단체 급식 보조원,0,2,538720,0,0,0,0,전라남도 광양시 광장로 1 (중동),2,서비스
126,안마사,0,0,9620,0,0,0,안마사,전라남도 광양시 광장로 1 (중동),2,서비스
127,사무 보조원(공공기관),0,0,9620,0,0,0,0,전라남도 광양시 시청로 33 광양시청 (중동),1,경영/사무
128,"기타 서비스 단순종사원(사우나,찜질방 정리원 등)",0,2,538720,0,0,0,0,전라남도 광양시 중마로 525 중마장애인복지관 (마동),1,서비스
129,"기타 서비스 단순종사원(사우나,찜질방 정리원 등)",0,0,9620,0,0,0,0,전라남도 나주시 내영산1길 67 (삼영동),2,서비스
130,안마사,0,0,9620,0,0,0,0,"전라남도 나주시 봉황로 49 (부덕동) (부덕동,한국시각장애인연합회)",1,서비스
131,그 외 사회복지 종사원,0,0,9620,0,0,0,0,전라남도 나주시 시청길 22 나주시청 (송월동),3,의료
132,안마사,0,0,9620,0,0,0,0,전라남도 목포시 비파로108번길 7-1 (상동)3층,2,서비스
